C1,C1_NM,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
00030002,대구,지역별,0001,전체,규모별,436.5333105,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0001,전체,규모별,6750.890283,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0001,전체,규모별,429.7651348,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0002,40㎡이하,규모별,4937.5,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0002,40㎡이하,규모별,383.59375,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0002,40㎡이하,규모별,5000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0002,40㎡이하,규모별,400,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0003,40㎡초과,규모별,8772.727273,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0003,40㎡초과,규모별,534.7727273,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0003,40㎡초과,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0003,40㎡초과,규모별,485,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0001,전체,규모별,6783.275796,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0001,전체,규모별,344.4044715,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0001,전체,규모별,4566.168009,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0001,전체,규모별,315.2728917,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0002,40㎡이하,규모별,3694.444444,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0002,40㎡이하,규모별,284.1666667,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0002,40㎡이하,규모별,3000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0002,40㎡이하,규모별,275,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0003,40㎡초과,규모별,17500,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0003,40㎡초과,규모별,553.4,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0003,40㎡초과,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030003,광주,지역별,0003,40㎡초과,규모별,455,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0001,전체,규모별,8800.943494,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0001,전체,규모별,484.5926649,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0001,전체,규모별,6726.902298,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0001,전체,규모별,435.2385313,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0002,40㎡이하,규모별,5340.909091,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0002,40㎡이하,규모별,360.6818182,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0002,40㎡이하,규모별,5000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0002,40㎡이하,규모별,370,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0003,40㎡초과,규모별,14357.14286,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0003,40㎡초과,규모별,683.5714286,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0003,40㎡초과,규모별,9500,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030004,대전,지역별,0003,40㎡초과,규모별,540,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0001,전체,규모별,8344.870732,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
