bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmDongOulnPk,mgmPlatPlcPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmPmsrgstPk
10100, ,0052,20141001,515,0037,08,대, ,1,동별,11110-100020075,11110-100027831,0,서울특별시 종로구 청운동 52-37번지, ,0,135,11110, ,
10100, ,0052,20180328,515,0037,08,대, ,0,전체,11110-100043025,11110-100030171,0,서울특별시 종로구 청운동 52-37번지, ,0,136,11110, ,
10100, ,0052,20090326,510,0038, , , ,0,전체,11110-1232,11110-869,0,서울특별시 종로구 청운동 52-38번지, ,1,137,11110, ,
10100, ,0052,20100325,510,0038, , , ,0,전체,11110-5357,11110-4983,0,서울특별시 종로구 청운동 52-38번지, ,1,138,11110, ,
10100, ,0052,20091024,510,0042,08,대, ,0,전체,11110-100011260,11110-100010883,0,서울특별시 종로구 청운동 52-42번지, ,1,139,11110, ,
10100, ,0052,20100325,510,0042,08,대, ,0,전체,11110-100010412,11110-100010702,0,서울특별시 종로구 청운동 52-42번지, ,1,140,11110, ,
10100, ,0052,20090326,510,0051,08,대, ,0,전체,11110-2930,11110-2556,0,서울특별시 종로구 청운동 52-51번지, ,1,141,11110, ,
10100, ,0052,20100325,510,0057, , , ,0,전체,11110-6812,11110-6438,0,서울특별시 종로구 청운동 52-57번지, ,1,142,11110, ,
10100, ,0052,20140902,510,0057,08,대, ,0,전체,11110-3754,11110-3380,0,서울특별시 종로구 청운동 52-57번지, ,1,143,11110, ,
10100, ,0052,20100325,510,0066, , , ,0,전체,11110-6811,11110-6437,0,서울특별시 종로구 청운동 52-66번지, ,1,144,11110, ,
10100, ,0052,20140902,510,0066, , , ,1,동별,11110-4016,11110-11239,0,서울특별시 종로구 청운동 52-66번지,52-66,0,145,11110, ,
10100, ,0052,20120217,510,0083,08,대, ,0,전체,11110-100019144,11110-100015298,0,서울특별시 종로구 청운동 52-83번지, ,1,146,11110, ,
10100, ,0052,20120217,510,0083,08,대, ,0,전체,11110-100019145,11110-100015299,0,서울특별시 종로구 청운동 52-83번지, ,1,147,11110, ,
10100, ,0052,20120731,510,0083,08,대, ,0,전체,11110-100020791,11110-100015218,0,서울특별시 종로구 청운동 52-83번지, ,1,148,11110, ,
10100, ,0052,20140710,515,0083,08,대, ,0,전체,11110-100027001,11110-100020246,0,서울특별시 종로구 청운동 52-83번지, ,1,149,11110, ,
10100, ,0052,20090326,510,0106,08,대, ,0,전체,11110-4230,11110-3856,0,서울특별시 종로구 청운동 52-106번지, ,1,150,11110, ,
10100, ,0052,20100818,510,0108,08,대, ,0,전체,11110-1012,11110-674,0,서울특별시 종로구 청운동 52-108번지, ,1,151,11110, ,
10100, ,0052,20190109,515,0127,08,대, ,0,전체,11110-100046804,11110-100033809,0,서울특별시 종로구 청운동 52-127번지, ,1,152,11110, ,
10100, ,0052,20190124,515,0128,08,대, ,0,전체,11110-100047014,11110-100033810,0,서울특별시 종로구 청운동 52-128번지, ,1,153,11110, ,
10100, ,0052,20190323,515,0131,08,대, ,0,전체,11110-100048269,11110-100035831,0,서울특별시 종로구 청운동 52-131번지, ,1,154,11110, ,
10100, ,0053,20130315,510,0003,08,대, ,0,전체,11110-100022608,11110-100017257,0,서울특별시 종로구 청운동 53-3번지, ,1,155,11110, ,
10100, ,0053,20180914,510,0003,08,대, ,0,전체,11110-100025644,11110-100017312,0,서울특별시 종로구 청운동 53-3번지, ,1,156,11110, ,
10100, ,0053,20130803,510,0008,08,대, ,0,전체,11110-100023826,11110-100016882,0,서울특별시 종로구 청운동 53-8번지, ,1,157,11110, ,
10100, ,0053,20141024,510,0008, , , ,0,전체,11110-1444,11110-1081,0,서울특별시 종로구 청운동 53-8번지, ,1,158,11110, ,
10100, ,0053,20110226,510,0016,08,대, ,0,전체,11110-100016073,11110-100013380,0,서울특별시 종로구 청운동 53-16번지, ,1,159,11110, ,
10100, ,0053,20120425,510,0016,08,대, ,0,전체,11110-100019881,11110-100013593,0,서울특별시 종로구 청운동 53-16번지, ,1,160,11110, ,
10100, ,0053,20090326,510,0017,08,대, ,0,전체,11110-92,11110-92,0,서울특별시 종로구 청운동 53-17번지, ,1,161,11110, ,
10100, ,0053,20090326,510,0018,08,대, ,0,전체,11110-4481,11110-4107,0,서울특별시 종로구 청운동 53-18번지, ,1,162,11110, ,
10100, ,0053,20100325,510,0018, , , ,0,전체,11110-7061,11110-6687,0,서울특별시 종로구 청운동 53-18번지, ,1,163,11110, ,
10100, ,0053,20130723,510,0019,08,대, ,0,전체,11110-100023640,11110-100017873,0,서울특별시 종로구 청운동 53-19번지, ,1,164,11110, ,
10100, ,0053,20140117,510,0019,08,대, ,0,전체,11110-100025407,11110-100018037,0,서울특별시 종로구 청운동 53-19번지, ,1,165,11110, ,
