bjdongCd,block,bun,crtnDay,ji,jijiguCd,jijiguCdNm,jijiguGbCd,jijiguGbCdNm,jijiguNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm
10100, ,0051,20130618,0005,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-418,0,서울특별시 종로구 청운동 51-5번지,1,131,11110, 
10100, ,0051,20130618,0005,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-418,0,서울특별시 종로구 청운동 51-5번지,1,132,11110, 
10100, ,0051,20130618,0005,990, ,3,용도구역코드,기타구역, ,0,전체,11110-418,0,서울특별시 종로구 청운동 51-5번지,1,133,11110, 
10100, ,0052,20160608,0002,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100023810,0,서울특별시 종로구 청운동 52-2번지,1,134,11110, 
10100, ,0052,20160608,0002,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100023810,0,서울특별시 종로구 청운동 52-2번지,0,135,11110, 
10100, ,0052,20160608,0002,UQH110,최고고도지구,2,용도지구코드,최고고도지구, ,0,전체,11110-100023810,0,서울특별시 종로구 청운동 52-2번지,1,136,11110, 
10100, ,0052,20160608,0002,UOA120,상대정화구역,3,용도구역코드,상대정화구역, ,0,전체,11110-100023810,0,서울특별시 종로구 청운동 52-2번지,1,137,11110, 
10100, ,0052,20160608,0002,UOA110,절대정화구역,3,용도구역코드,절대정화구역, ,0,전체,11110-100023810,0,서울특별시 종로구 청운동 52-2번지,0,138,11110, 
10100, ,0052,20101123,0005,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-100011904,0,서울특별시 종로구 청운동 52-5번지,1,139,11110, 
10100, ,0052,20101123,0005,1022, ,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100011904,0,서울특별시 종로구 청운동 52-5번지,0,140,11110, 
10100, ,0052,20101123,0005,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-100011904,0,서울특별시 종로구 청운동 52-5번지,1,141,11110, 
10100, ,0052,20141001,0005,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100020788,0,서울특별시 종로구 청운동 52-5번지,1,142,11110, 
10100, ,0052,20141001,0005,UQH110,최고고도지구,2,용도지구코드,최고고도지구, ,0,전체,11110-100020788,0,서울특별시 종로구 청운동 52-5번지,1,143,11110, 
10100, ,0052,20090326,0006,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-794,0,서울특별시 종로구 청운동 52-6번지,1,144,11110, 
10100, ,0052,20090326,0006,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-794,0,서울특별시 종로구 청운동 52-6번지,1,145,11110, 
10100, ,0052,20130618,0010,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-472,0,서울특별시 종로구 청운동 52-10번지,1,146,11110, 
10100, ,0052,20130618,0010,200, ,2,용도지구코드,경치지구, ,0,전체,11110-472,0,서울특별시 종로구 청운동 52-10번지,1,147,11110, 
10100, ,0052,20100604,0015,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-446,0,서울특별시 종로구 청운동 52-15번지,1,148,11110, 
10100, ,0052,20100604,0015,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-446,0,서울특별시 종로구 청운동 52-15번지,1,149,11110, 
10100, ,0052,20090326,0016,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-2465,0,서울특별시 종로구 청운동 52-16번지,1,150,11110, 
10100, ,0052,20090326,0016,1022, ,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-2465,0,서울특별시 종로구 청운동 52-16번지,0,151,11110, 
10100, ,0052,20090326,0016,990, ,2,용도지구코드,기타지구, ,0,전체,11110-2465,0,서울특별시 종로구 청운동 52-16번지,0,152,11110, 
10100, ,0052,20090326,0016,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-2465,0,서울특별시 종로구 청운동 52-16번지,1,153,11110, 
10100, ,0052,20090326,0018,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-567,0,서울특별시 종로구 청운동 52-18번지,1,154,11110, 
10100, ,0052,20090326,0018,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-567,0,서울특별시 종로구 청운동 52-18번지,1,155,11110, 
10100, ,0052,20120204,0018,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-467,0,서울특별시 종로구 청운동 52-18번지,1,156,11110, 
10100, ,0052,20120204,0018,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-467,0,서울특별시 종로구 청운동 52-18번지,1,157,11110, 
10100,52,0052,20090326,0023,1020, ,1,용도지역코드,일반주거지역,23,0,전체,11110-1080,0,서울특별시 종로구 청운동 52-23번지,1,158,11110,서울시 종로구 청운동
