번호,접속 사이트,제공항목(데이터셋),폴더명,작업자,시작일,종료일,검토자,진행상태,비고,획득방식,제공방식,원본제공처,비고0,비고2_comment,자료명,서비스명,사이트,서비스키헤더,서비스키명,서비스키,파라미터,제공방식,데이터타입,참고문서,참고문서타입,주기,비고_파라미터설명,완료여부,API PGM ID,파일명
95,국가통계포털,규모별 월세가격지수,95_규모별 월세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10095.py,TB_OD10095_yyyymm.csv
96,국가통계포털,규모별 전세가격지수,96_규모별 전세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10096.py,TB_OD10096_yyyymm.csv
97,국가통계포털,규모별 전월세전환율,97_규모별 전월세전환율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10097.py,TB_OD10097_yyyymm.csv
98,국가통계포털,연령별 매매가격지수,98_연령별 매매가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10098.py,TB_OD10098_yyyymm.csv
99,국가통계포털,연령별 월세가격지수,99_연령별 월세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10099.py,TB_OD10099_yyyymm.csv
100,국가통계포털,연령별 전세가격지수,100_연령별 전세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10100.py,TB_OD10100_yyyymm.csv
101,국가통계포털,유형별 매매가격 대비 전세가격 비율,101_유형별 매매가격 대비 전세가격 비율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10101.py,TB_OD10101_yyyymm.csv
102,국가통계포털,유형별 매매가격지수,102_유형별 매매가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10102.py,TB_OD10102_yyyymm.csv
103,국가통계포털,유형별 월세가격지수,103_유형별 월세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10103.py,TB_OD10103_yyyymm.csv
104,국가통계포털,유형별 월세통합가격지수,104_유형별 월세통합가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10104.py,TB_OD10104_yyyymm.csv
105,국가통계포털,유형별 전세가격 대비 월세보증금 비율,105_유형별 전세가격 대비 월세보증금 비율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10105.py,TB_OD10105_yyyymm.csv
106,국가통계포털,유형별 전세가격지수,106_유형별 전세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10106.py,TB_OD10106_yyyymm.csv
107,국가통계포털,유형별 준월세가격지수,107_유형별 준월세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10107.py,TB_OD10107_yyyymm.csv
108,국가통계포털,유형별 준전세가격지수,108_유형별 준전세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10108.py,TB_OD10108_yyyymm.csv
109,국가통계포털,전월세통합지수,109_전월세통합지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10109.py,TB_OD10109_yyyymm.csv
110,국가통계포털,주요지역별 매매수급동향,110_주요지역별 매매수급동향,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10110.py,TB_OD10110_yyyymm.csv
111,국가통계포털,주요지역별 월세수급동향,111_주요지역별 월세수급동향,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10111.py,TB_OD10111_yyyymm.csv
112,국가통계포털,주요지역별 전세수급동향,112_주요지역별 전세수급동향,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10112.py,TB_OD10112_yyyymm.csv
113,국가통계포털,지역별 전월세전환율,113_지역별 전월세전환율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10113.py,TB_OD10113_yyyymm.csv
114,국가통계포털,유형별 주택매매가격지수(2011.6=100),114_유형별 주택매매가격지수(2011.6=100),,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10114.py,TB_OD10114_yyyymm.csv
115,국가통계포털,유형별 주택전세가격지수(2011.6=100),115_유형별 주택전세가격지수(2011.6=100),,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10115.py,TB_OD10115_yyyymm.csv
