,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
88,02,연립다세대,Row Houses,주택유형,Type,a14,강원,Gangwon,지역,Region,98.31715864,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
89,02,연립다세대,Row Houses,주택유형,Type,a15,충북,Chungbuk,지역,Region,98.25529962,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
90,02,연립다세대,Row Houses,주택유형,Type,a16,충남,Chungnam,지역,Region,97.70830232,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
91,02,연립다세대,Row Houses,주택유형,Type,a17,전북,Jeonbuk,지역,Region,99.67385324,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
92,02,연립다세대,Row Houses,주택유형,Type,a18,전남,Jeonnam,지역,Region,99.95586883,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
93,02,연립다세대,Row Houses,주택유형,Type,a19,경북,Gyeongbuk,지역,Region,97.46440392,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
94,02,연립다세대,Row Houses,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,98.02617155,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
95,02,연립다세대,Row Houses,주택유형,Type,a20,경남,Gyeongnam,지역,Region,93.64804515,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
96,02,연립다세대,Row Houses,주택유형,Type,a21,제주,Jeju,지역,Region,98.19953468,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
97,02,연립다세대,Row Houses,주택유형,Type,a22,6대광역시,6LargeCities,지역,Region,99.08158669,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
98,02,연립다세대,Row Houses,주택유형,Type,a23,9개도,9Provinces,지역,Region,98.67227803,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
99,02,연립다세대,Row Houses,주택유형,Type,a3,5대광역시,5LargeCities,지역,Region,98.64488389,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
100,02,연립다세대,Row Houses,주택유형,Type,a4,8개도,8Provinces,지역,Region,97.42947386,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
101,02,연립다세대,Row Houses,주택유형,Type,a5,서울,Seoul,지역,Region,100.1863293,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
102,02,연립다세대,Row Houses,주택유형,Type,a501,강북권역,NorthernSeoul,지역,Region,100.5391076,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
103,02,연립다세대,Row Houses,주택유형,Type,a502,도심권,Dosim-kwon,지역,Region,100.6744988,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
